wcat,wdog
7.033235859125852585e-03,7.779688108712434769e-03
-5.849276203662157059e-03,9.384073317050933838e-03
-1.819133386015892029e-02,2.692509815096855164e-02
-9.990800172090530396e-03,-1.056061405688524246e-02
-3.488880023360252380e-02,1.631686091423034668e-02
1.232757233083248138e-03,2.052020514383912086e-03
1.738631166517734528e-03,-4.587836563587188721e-03
-9.105663746595382690e-03,-1.230114419013261795e-02
-1.567742787301540375e-02,6.954759359359741211e-02
6.694293767213821411e-02,-8.516175299882888794e-02
-1.951275020837783813e-02,-2.080320194363594055e-02
5.402355454862117767e-03,2.769410237669944763e-02
1.516318228095769882e-02,-1.329412497580051422e-02
-1.567708514630794525e-02,-1.438660919666290283e-02
4.117991402745246887e-02,-5.736845359206199646e-02
-3.505336493253707886e-02,4.937405139207839966e-02
-2.317112125456333160e-02,9.422839619219303131e-03
-3.215578570961952209e-02,2.332688495516777039e-02
9.598411619663238525e-03,-8.009236305952072144e-03
-2.220980264246463776e-02,3.045767359435558319e-02
8.092210628092288971e-03,-7.218788843601942062e-03
1.644353382289409637e-02,1.524775940924882889e-02
5.997395608574151993e-03,5.834816023707389832e-02
-1.944119483232498169e-02,2.524198731407523155e-03
2.383914217352867126e-02,1.360289566218852997e-02
3.890096396207809448e-02,-5.516091734170913696e-02
-4.968002904206514359e-03,-6.575287785381078720e-03
-2.798902802169322968e-02,4.713014140725135803e-02
2.125056833028793335e-02,-6.336434930562973022e-02
8.162263035774230957e-02,-8.156160265207290649e-02
-1.301902346312999725e-02,7.357452530413866043e-03
-5.990052130073308945e-03,-7.940057665109634399e-03
-4.116441588848829269e-03,-1.215406134724617004e-02
1.227241083979606628e-01,-1.364848911762237549e-01
1.162003260105848312e-02,-2.003991231322288513e-02
-9.150736965239048004e-03,2.809286117553710938e-02
8.125972002744674683e-02,-7.127797603607177734e-02
3.604946890845894814e-03,2.520591253414750099e-03
-1.780079677700996399e-02,-1.767180860042572021e-02
1.326148747466504574e-03,2.793925115838646889e-03
1.011966075748205185e-02,-1.592014357447624207e-02
-9.715300053358078003e-03,-9.954583831131458282e-03
-6.946059409528970718e-03,3.412561118602752686e-02
1.079066749662160873e-02,1.670989877311512828e-04
3.259081020951271057e-02,-2.713932469487190247e-02
4.095955938100814819e-02,-5.023751873522996902e-03
1.503672916442155838e-02,2.147311344742774963e-02
-4.975194111466407776e-03,-6.392796523869037628e-03
